Frequency	Mag [B/A]	Phase [B-A]
+1.00000000000000E+000	-5.83702327761200E+001	-1.77160271883443E+002
+1.05927102895268E+000	-5.81188810341514E+001	-1.77925942152691E+002
+1.12205511277847E+000	-5.82503608822667E+001	-1.76868092540668E+002
+1.18856047385447E+000	-5.84166347911857E+001	-1.77020180653869E+002
+1.25900767611231E+000	-5.80566528772565E+001	-1.76747765895438E+002
+1.33363035653482E+000	-5.83803561152468E+001	-1.77787173499066E+002
+1.41267600000917E+000	-5.81329479230087E+001	-1.77123574492461E+002
+1.49640676010647E+000	-5.82255482472454E+001	-1.77078201555153E+002
+1.58510032850973E+000	-5.82831503377410E+001	-1.76568694520324E+002
+1.67905085597374E+000	-5.80555537655243E+001	-1.76314624016324E+002
+1.77856992787118E+000	-5.82201088595739E+001	-1.75677760185147E+002
+1.88398759756040E+000	-5.80926856801201E+001	-1.75249188847918E+002
+1.99565348100190E+000	-5.81745786118952E+001	-1.75509320505848E+002
+2.11393791625389E+000	-5.81933026091474E+001	-1.76328580934405E+002
+2.23923319169234E+000	-5.81851592485634E+001	-1.75423845288419E+002
+2.37195484702895E+000	-5.82281252255132E+001	-1.74934590218735E+002
+2.51254305144166E+000	-5.82023365078608E+001	-1.75431891524819E+002
+2.66146406338851E+000	-5.81719272420246E+001	-1.74552520716847E+002
+2.81921177694614E+000	-5.82571048847194E+001	-1.74114046711028E+002
+2.98630935980126E+000	-5.81147694312041E+001	-1.74163702007415E+002
+3.16331098832770E+000	-5.81906798055765E+001	-1.73467564057612E+002
+3.35080368550321E+000	-5.81276927664453E+001	-1.73076126442038E+002
+3.54940926776143E+000	-5.81812532025813E+001	-1.72766042304455E+002
+3.75978640723583E+000	-5.82018423704085E+001	-1.72600825296590E+002
+3.98263281623501E+000	-5.81489295054551E+001	-1.71941171709502E+002
+4.21868756119398E+000	-5.80269231958598E+001	-1.71446320337027E+002
+4.46873351377582E+000	-5.81394878468266E+001	-1.71441407673802E+002
+4.73359994725265E+000	-5.81345121095870E+001	-1.70651797150403E+002
+5.01416528677668E+000	-5.81383028822356E+001	-1.70113435918513E+002
+5.31136002266275E+000	-5.81295098387669E+001	-1.69539489366087E+002
+5.62616979634412E+000	-5.80749440864536E+001	-1.68869808227717E+002
+5.95963866923594E+000	-5.80947919309214E+001	-1.68111189477098E+002
+6.31287258534774E+000	-5.80680049819212E+001	-1.67671141857605E+002
+6.68704303912848E+000	-5.79851745054361E+001	-1.67132441234184E+002
+7.08339096070850E+000	-5.80298976629254E+001	-1.65967100100445E+002
+7.50323083142382E+000	-5.79968585453864E+001	-1.65334018832687E+002
+7.94795504327180E+000	-5.79070920149267E+001	-1.64110956865094E+002
+8.41903851675618E+000	-5.79188052393850E+001	-1.63440749112617E+002
+8.91804359243658E+000	-5.78514948098569E+001	-1.62847890160291E+002
+9.44662521240517E+000	-5.78291423798463E+001	-1.61588710623023E+002
+1.00065364088748E+001	-5.77340361343396E+001	-1.60489827570697E+002
+1.05996341180813E+001	-5.77024533866423E+001	-1.59421299359084E+002
+1.12278853387819E+001	-5.76157609307760E+001	-1.58564710724279E+002
+1.18933736557742E+001	-5.75332683365001E+001	-1.57464555770745E+002
+1.25983061500707E+001	-5.74849828385891E+001	-1.56019383773989E+002
+1.33450207186463E+001	-5.74107477627335E+001	-1.55053378578156E+002
+1.41359938280353E+001	-5.72808585459103E+001	-1.53644737310527E+002
+1.49738487274917E+001	-5.71542686083347E+001	-1.52508897049789E+002
+1.58613641489520E+001	-5.70658650272027E+001	-1.50950483107204E+002
+1.68014835226536E+001	-5.69243821510128E+001	-1.49482292439690E+002
+1.77973247389728E+001	-5.68311330499338E+001	-1.47823754880807E+002
+1.88521904888567E+001	-5.66908064935267E+001	-1.46398944270121E+002
+1.99695792171432E+001	-5.65200650646383E+001	-1.45289273641800E+002
+2.11531967250954E+001	-5.63485417154726E+001	-1.43214694269862E+002
+2.24069684606303E+001	-5.61540316054774E+001	-1.41540101688919E+002
+2.37350525370022E+001	-5.59385357793182E+001	-1.40344638240993E+002
+2.51418535231163E+001	-5.56991534159461E+001	-1.38611385903936E+002
+2.66320370512090E+001	-5.54905481123315E+001	-1.37004663579597E+002
+2.82105452903401E+001	-5.52190711516387E+001	-1.35402711126655E+002
+2.98826133370148E+001	-5.49680656719293E+001	-1.33587658662662E+002
+3.16537865772948E+001	-5.46856780054658E+001	-1.31933104765661E+002
+3.35299390779797E+001	-5.44434718783849E+001	-1.30447046124346E+002
+3.55172930678523E+001	-5.41623065758468E+001	-1.28634458534752E+002
+3.76224395735979E+001	-5.38477986476037E+001	-1.27074873101564E+002
+3.98523602788351E+001	-5.35023161876396E+001	-1.25488629454921E+002
+4.22144506787547E+001	-5.31508070861917E+001	-1.24089073191293E+002
+4.47165446071567E+001	-5.28250117612678E+001	-1.22569617976289E+002
+4.73669402172314E+001	-5.24510484376407E+001	-1.21175536047157E+002
+5.01744275022469E+001	-5.20773829874162E+001	-1.19631271564508E+002
+5.31483174474168E+001	-5.17154953503362E+001	-1.18250739819496E+002
+5.62984729096290E+001	-5.13045585501139E+001	-1.16704358282074E+002
+5.96353413274474E+001	-5.09125695423622E+001	-1.15585820163857E+002
+6.31699893698696E+001	-5.05084860120235E+001	-1.14273418793646E+002
+6.69141396387518E+001	-5.00759659355731E+001	-1.13060763498116E+002
+7.08802095466241E+001	-4.96472012040093E+001	-1.11886137770346E+002
+7.50813524988343E+001	-4.92208739824231E+001	-1.10802550948485E+002
+7.95315015165992E+001	-4.87900869928801E+001	-1.09713574646741E+002
+8.42454154456398E+001	-4.83374527012910E+001	-1.08741523124363E+002
+8.92387279036491E+001	-4.78765742309211E+001	-1.07734971730684E+002
+9.45279991289269E+001	-4.74266887509157E+001	-1.06689610087428E+002
+1.00130770902137E+002	-4.69773798934412E+001	-1.05870697881957E+002
+1.06065624723331E+002	-4.65075958481306E+001	-1.05038523763629E+002
+1.12352243437192E+002	-4.60335501333234E+001	-1.04167877756810E+002
+1.19011476510857E+002	-4.55624288289592E+001	-1.03455292709735E+002
+1.26065409180834E+002	-4.50921327850177E+001	-1.02749876461614E+002
+1.33537435698322E+002	-4.46164992762696E+001	-1.02047968327319E+002
+1.41452336915865E+002	-4.41306613998632E+001	-1.01374618219744E+002
+1.49836362472629E+002	-4.36514788487763E+001	-1.00747221748306E+002
+1.58717317850909E+002	-4.31707178430395E+001	-1.00179559593124E+002
+1.68124656592543E+002	-4.26849952209237E+001	-9.96403948418012E+001
+1.78089577981099E+002	-4.22035780567616E+001	-9.90880191283865E+001
+1.88645130513788E+002	-4.17148887176744E+001	-9.85994879557653E+001
+1.99826321506253E+002	-4.12266290711658E+001	-9.81062529440351E+001
+2.11670233193758E+002	-4.07365411139163E+001	-9.76610644375575E+001
+2.24216145713806E+002	-4.02400263376347E+001	-9.72534489101012E+001
+2.37505667378068E+002	-3.97540145552062E+001	-9.68467772547359E+001
+2.51582872665659E+002	-3.92591497688160E+001	-9.64889203306814E+001
+2.66494448395425E+002	-3.87625204704024E+001	-9.60960184422504E+001
+2.82289848561999E+002	-3.82663703292524E+001	-9.57690284852184E+001
+2.99021458349166E+002	-3.77750114859144E+001	-9.54158134075053E+001
+3.16744767864452E+002	-3.72751989699807E+001	-9.51290790726312E+001
+3.35518556171157E+002	-3.67788012972588E+001	-9.48580208056195E+001
+3.55405086228140E+002	-3.62818953058223E+001	-9.46011806541519E+001
+3.76470311383898E+002	-3.57841026615865E+001	-9.43428992556032E+001
