Frequency	Mag [B/A]	Phase [B-A]
+1.00000000000000E+000	-5.81943230731189E+001	-1.76205909793517E+002
+1.05927102895268E+000	-5.82157951175380E+001	-1.78000224298607E+002
+1.12205511277847E+000	-5.83268544088293E+001	-1.77047258703113E+002
+1.18856047385447E+000	-5.82219851532202E+001	-1.77153177195444E+002
+1.25900767611231E+000	-5.82646989449046E+001	-1.77218501587152E+002
+1.33363035653482E+000	-5.82862065508365E+001	-1.78094148930814E+002
+1.41267600000917E+000	-5.82596879418188E+001	-1.76626791480116E+002
+1.49640676010647E+000	-5.80753658890504E+001	-1.78579397727660E+002
+1.58510032850973E+000	-5.83950692242174E+001	-1.76542733922327E+002
+1.67905085597374E+000	-5.83820369005212E+001	-1.77244418345291E+002
+1.77856992787118E+000	-5.82950457666711E+001	-1.76253177523985E+002
+1.88398759756040E+000	-5.82714254231214E+001	-1.75917440242606E+002
+1.99565348100190E+000	-5.82738146884505E+001	-1.75610641377334E+002
+2.11393791625389E+000	-5.81533237500113E+001	-1.76291373847322E+002
+2.23923319169234E+000	-5.83215008203530E+001	-1.75799639998979E+002
+2.37195484702895E+000	-5.82648829824939E+001	-1.75255870390496E+002
+2.51254305144166E+000	-5.82325198469849E+001	-1.75249609569049E+002
+2.66146406338851E+000	-5.81981358867372E+001	-1.74565272805869E+002
+2.81921177694614E+000	-5.81206683490494E+001	-1.75108792492221E+002
+2.98630935980126E+000	-5.82306180313470E+001	-1.73876344774625E+002
+3.16331098832770E+000	-5.82637815017421E+001	-1.73802608290780E+002
+3.35080368550321E+000	-5.82157661878095E+001	-1.73295736203021E+002
+3.54940926776143E+000	-5.82609472899319E+001	-1.72900053374248E+002
+3.75978640723583E+000	-5.82298716701055E+001	-1.73034762453973E+002
+3.98263281623501E+000	-5.81822804561931E+001	-1.71959871821590E+002
+4.21868756119398E+000	-5.81594240175116E+001	-1.71589928737948E+002
+4.46873351377582E+000	-5.81226067926270E+001	-1.71407316342711E+002
+4.73359994725265E+000	-5.81055187863064E+001	-1.70698235981320E+002
+5.01416528677668E+000	-5.81154863287079E+001	-1.70023074417582E+002
+5.31136002266275E+000	-5.81162849969878E+001	-1.69464767963447E+002
+5.62616979634412E+000	-5.80350270512377E+001	-1.68850587501669E+002
+5.95963866923594E+000	-5.81419793297925E+001	-1.68303212454288E+002
+6.31287258534774E+000	-5.80403060652073E+001	-1.67352736598611E+002
+6.68704303912848E+000	-5.80678259006914E+001	-1.66601796419621E+002
+7.08339096070850E+000	-5.80075627409537E+001	-1.65790508190769E+002
+7.50323083142382E+000	-5.79479550570600E+001	-1.65185830738460E+002
+7.94795504327180E+000	-5.79723757785617E+001	-1.64425239780527E+002
+8.41903851675618E+000	-5.79178745454764E+001	-1.63761618649464E+002
+8.91804359243658E+000	-5.78852086311502E+001	-1.62735697042672E+002
+9.44662521240517E+000	-5.77848795112946E+001	-1.61541153289274E+002
+1.00065364088748E+001	-5.77619295963959E+001	-1.60832231236438E+002
+1.05996341180813E+001	-5.77307384633657E+001	-1.59259766705126E+002
+1.12278853387819E+001	-5.76225967884483E+001	-1.58100862332646E+002
+1.18933736557742E+001	-5.75736593480880E+001	-1.57488549907709E+002
+1.25983061500707E+001	-5.74822546371340E+001	-1.56465554242666E+002
+1.33450207186463E+001	-5.74224574987500E+001	-1.54746332515110E+002
+1.41359938280353E+001	-5.73144060717648E+001	-1.53421736446653E+002
+1.49738487274917E+001	-5.72240832655257E+001	-1.52229219142596E+002
+1.58613641489520E+001	-5.71018255511085E+001	-1.50895991096374E+002
+1.68014835226536E+001	-5.69384343815721E+001	-1.49171204817685E+002
+1.77973247389728E+001	-5.68321603842887E+001	-1.47991056462049E+002
+1.88521904888567E+001	-5.66824993671232E+001	-1.46577842714985E+002
+1.99695792171432E+001	-5.65081713039079E+001	-1.44587547426847E+002
+2.11531967250954E+001	-5.63455578632892E+001	-1.43069624715397E+002
+2.24069684606303E+001	-5.61864877031932E+001	-1.41783541143087E+002
+2.37350525370022E+001	-5.59446062759768E+001	-1.40145333524500E+002
+2.51418535231163E+001	-5.57580912147354E+001	-1.38298536281213E+002
+2.66320370512090E+001	-5.55544509447528E+001	-1.37006694845640E+002
+2.82105452903401E+001	-5.53161195530924E+001	-1.35202249188675E+002
+2.98826133370148E+001	-5.50459970072508E+001	-1.33591616496600E+002
+3.16537865772948E+001	-5.47979215457753E+001	-1.31929640666439E+002
+3.35299390779797E+001	-5.45164947822905E+001	-1.30380160399290E+002
+3.55172930678523E+001	-5.41898410819048E+001	-1.28712105867275E+002
+3.76224395735979E+001	-5.38915955584865E+001	-1.27075302151805E+002
+3.98523602788351E+001	-5.35726387424610E+001	-1.25445954408121E+002
+4.22144506787547E+001	-5.32371945233862E+001	-1.24050265679789E+002
+4.47165446071567E+001	-5.28881082142925E+001	-1.22404541124522E+002
+4.73669402172314E+001	-5.25013161381910E+001	-1.21065857527347E+002
+5.01744275022469E+001	-5.21355578263128E+001	-1.19655242455409E+002
+5.31483174474168E+001	-5.17352633276625E+001	-1.18110440031554E+002
+5.62984729096290E+001	-5.13453313842912E+001	-1.16781933855971E+002
+5.96353413274474E+001	-5.09461263658141E+001	-1.15573661310370E+002
+6.31699893698696E+001	-5.05172022274336E+001	-1.14186031580037E+002
+6.69141396387518E+001	-5.00949172975914E+001	-1.13032885859490E+002
+7.08802095466241E+001	-4.96634141192951E+001	-1.11863771180761E+002
+7.50813524988343E+001	-4.92385361070243E+001	-1.10724233827017E+002
+7.95315015165992E+001	-4.87982188897464E+001	-1.09727708324161E+002
+8.42454154456398E+001	-4.83557919971297E+001	-1.08681960214235E+002
+8.92387279036491E+001	-4.79148218419464E+001	-1.07621752907116E+002
+9.45279991289269E+001	-4.74565118710955E+001	-1.06893855212627E+002
+1.00130770902137E+002	-4.69959374324643E+001	-1.05887417122455E+002
+1.06065624723331E+002	-4.65389550545118E+001	-1.05025729643582E+002
+1.12352243437192E+002	-4.60633697488511E+001	-1.04213100855885E+002
+1.19011476510857E+002	-4.55951194139911E+001	-1.03425759117457E+002
+1.26065409180834E+002	-4.51200411968171E+001	-1.02702008296045E+002
+1.33537435698322E+002	-4.46373960989464E+001	-1.02021510074141E+002
+1.41452336915865E+002	-4.41674642784899E+001	-1.01347482435843E+002
+1.49836362472629E+002	-4.36867423438790E+001	-1.00749528037999E+002
+1.58717317850909E+002	-4.31974651847088E+001	-1.00148106528722E+002
+1.68124656592543E+002	-4.27141343753226E+001	-9.96167966827647E+001
+1.78089577981099E+002	-4.22236291680120E+001	-9.90535866619741E+001
+1.88645130513788E+002	-4.17353571060060E+001	-9.85515041871556E+001
+1.99826321506253E+002	-4.12484057717719E+001	-9.81114518893837E+001
+2.11670233193758E+002	-4.07555186606347E+001	-9.76529081027530E+001
+2.24216145713806E+002	-4.02655421769679E+001	-9.72359675985692E+001
+2.37505667378068E+002	-3.97698618258079E+001	-9.68293891935025E+001
+2.51582872665659E+002	-3.92762060892701E+001	-9.64438516784074E+001
+2.66494448395425E+002	-3.87798237313588E+001	-9.60833300941051E+001
+2.82289848561999E+002	-3.82789702634037E+001	-9.57464014365357E+001
+2.99021458349166E+002	-3.77853248237043E+001	-9.54217764556273E+001
+3.16744767864452E+002	-3.72912083396178E+001	-9.51079448776399E+001
+3.35518556171157E+002	-3.67942160727197E+001	-9.48772904596112E+001
+3.55405086228140E+002	-3.63001386098181E+001	-9.45530330452661E+001
+3.76470311383898E+002	-3.57991437486216E+001	-9.43208618975768E+001
+3.98784094109759E+002	-3.53020349057235E+001	-9.40800568126191E+001
+4.22420437697607E+002	-3.48023858130000E+001	-9.38551956487545E+001
+4.47457731690587E+002	-3.43020910043618E+001	-9.36389634735899E+001
+4.73979011860721E+002	-3.38073807686121E+001	-9.34211742553024E+001
+5.02072235595681E+002	-3.33063128315496E+001	-9.32507602626854E+001
+5.31830573608011E+002	-3.28120987074115E+001	-9.30710791983884E+001
+5.63352718934253E+002	-3.23123723092743E+001	-9.28966794881658E+001
+5.96743214248778E+002	-3.18127803829618E+001	-9.27310825150746E+001
+6.32112798577834E+002	-3.13124809886656E+001	-9.25708677744078E+001
+6.69578774563701E+002	-3.08141520153883E+001	-9.24429245120332E+001
+7.09265397496968E+002	-3.03152480374773E+001	-9.23041536360273E+001
+7.51304287407146E+002	-2.98170137939735E+001	-9.21849007550580E+001
+7.95834865578330E+002	-2.93185096422155E+001	-9.20636166406042E+001
+8.43004816937577E+002	-2.88181685782941E+001	-9.19492080521919E+001
+8.92970579849534E+002	-2.83185859036870E+001	-9.18435371554550E+001
+9.45897864941690E+002	-2.78200084551043E+001	-9.17464610073388E+001
+1.00196220468093E+003	-2.73192262468765E+001	-9.16471483152087E+001
+1.06134953552407E+003	-2.68192766433106E+001	-9.15606003277456E+001
+1.12425681457303E+003	-2.63198276020230E+001	-9.14767945302510E+001
+1.19089267277984E+003	-2.58205970505592E+001	-9.13912965114787E+001
+1.26147810686771E+003	-2.53204266720945E+001	-9.13137280917581E+001
+1.33624721226304E+003	-2.48206905703483E+001	-9.12451680125718E+001
+1.41544795946902E+003	-2.43214149722676E+001	-9.11776073171626E+001
+1.49934301645572E+003	-2.38209734405455E+001	-9.11141294785679E+001
+1.58821061979407E+003	-2.33218893496751E+001	-9.10557856175216E+001
+1.68234549742285E+003	-2.28215732871702E+001	-9.09959651623735E+001
+1.78205984610901E+003	-2.23214929037395E+001	-9.09432817423570E+001
+1.88768436684315E+003	-2.18220974465129E+001	-9.08915871007476E+001
+1.99956936160384E+003	-2.13230396514319E+001	-9.08419706183013E+001
+2.11808589512835E+003	-2.08233440132728E+001	-9.07972263548999E+001
+2.24362702554277E+003	-2.03237093030433E+001	-9.07515833492077E+001
+2.37660910793274E+003	-1.98235197659989E+001	-9.07137031358917E+001
+2.51747317517823E+003	-1.93240309617208E+001	-9.06728209311057E+001
+2.66668640063182E+003	-1.88238699999671E+001	-9.06363712043290E+001
+2.82474364749139E+003	-1.83242498816472E+001	-9.05993689541510E+001
+2.99216911000576E+003	-1.78244670113221E+001	-9.05647355268796E+001
+3.16951805195623E+003	-1.73240643827961E+001	-9.05341948081964E+001
+3.35737864817978E+003	-1.68240105509188E+001	-9.05043160266578E+001
